,Eastern Conference,W,L,W/L%,GB,PS/G,PA/G,SRS,Western Conference,Conference,year
2,Philadelphia 76ers*,49,33,0.598,3.0,94.8,93.4,1.02,,Philadelphia 76ers*,2000
3,Orlando Magic,41,41,0.5,11.0,100.1,99.4,0.43,,Orlando Magic,2000
4,Boston Celtics,35,47,0.427,17.0,99.3,100.1,-1.0,,Boston Celtics,2000
5,New Jersey Nets,31,51,0.378,21.0,98.0,99.0,-1.18,,New Jersey Nets,2000
6,Washington Wizards,29,53,0.354,23.0,96.6,99.9,-3.47,,Washington Wizards,2000
7,Indiana Pacers*,56,26,0.683,—,101.3,96.7,4.15,,Indiana Pacers*,2000
8,Charlotte Hornets*,49,33,0.598,7.0,98.4,95.8,2.33,,Charlotte Hornets*,2000
9,Toronto Raptors*,45,37,0.549,11.0,97.2,97.3,-0.46,,Toronto Raptors*,2000
10,Detroit Pistons*,42,40,0.512,14.0,103.5,102.0,1.13,,Detroit Pistons*,2000
11,Milwaukee Bucks*,42,40,0.512,14.0,101.2,101.0,-0.06,,Milwaukee Bucks*,2000
12,Cleveland Cavaliers,32,50,0.39,24.0,97.0,100.5,-3.64,,Cleveland Cavaliers,2000
13,Atlanta Hawks,28,54,0.341,28.0,94.3,99.7,-5.41,,Atlanta Hawks,2000
14,Chicago Bulls,17,65,0.207,39.0,84.8,94.2,-9.23,,Chicago Bulls,2000
0,,55,27,0.671,—,96.5,92.0,4.52,Utah Jazz*,Utah Jazz*,2000
1,,53,29,0.646,2.0,96.2,90.2,5.92,San Antonio Spurs*,San Antonio Spurs*,2000
2,,50,32,0.61,5.0,98.5,96.0,2.67,Minnesota Timberwolves*,Minnesota Timberwolves*,2000
3,,40,42,0.488,15.0,101.4,102.0,-0.29,Dallas Mavericks,Dallas Mavericks,2000
4,,35,47,0.427,20.0,99.0,101.1,-1.76,Denver Nuggets,Denver Nuggets,2000
5,,34,48,0.415,21.0,99.5,100.3,-0.57,Houston Rockets,Houston Rockets,2000
